,Unnamed: 0,Year,Month,Count,time,State
0,0,2019,3,148680.0,2019-03-01,california
1,1,2019,4,140368.0,2019-04-01,california
2,2,2019,5,149578.0,2019-05-01,california
3,3,2019,6,142700.0,2019-06-01,california
4,4,2019,7,157170.0,2019-07-01,california
5,5,2019,8,161300.0,2019-08-01,california
6,6,2019,9,155062.0,2019-09-01,california
7,7,2019,10,157486.0,2019-10-01,california
8,8,2019,11,144460.0,2019-11-01,california
9,9,2019,12,146394.0,2019-12-01,california
10,10,2020,1,69469.0,2020-01-01,california
11,11,2020,2,63966.0,2020-02-01,california
12,12,2020,3,66135.0,2020-03-01,california
13,13,2020,4,64316.0,2020-04-01,california
14,14,2020,5,66831.0,2020-05-01,california
15,15,2020,6,66637.0,2020-06-01,california
16,16,2020,7,72487.0,2020-07-01,california
17,17,2020,8,71447.0,2020-08-01,california
18,18,2020,9,66903.0,2020-09-01,california
19,19,2020,10,69485.0,2020-10-01,california
20,20,2020,11,62987.0,2020-11-01,california
21,21,2020,12,62267.0,2020-12-01,california
22,22,2021,1,54494.0,2021-01-01,california
23,23,2021,2,46641.0,2021-02-01,california
0,0,2019,3,3064.0,2019-03-01,iowa
1,1,2019,4,3112.0,2019-04-01,iowa
2,2,2019,5,3221.0,2019-05-01,iowa
3,3,2019,6,3129.0,2019-06-01,iowa
4,4,2019,7,3431.0,2019-07-01,iowa
5,5,2019,8,3396.0,2019-08-01,iowa
6,6,2019,9,3216.0,2019-09-01,iowa
7,7,2019,10,3201.0,2019-10-01,iowa
8,8,2019,11,2908.0,2019-11-01,iowa
9,9,2019,12,2963.0,2019-12-01,iowa
10,10,2020,1,3053.0,2020-01-01,iowa
11,11,2020,2,2831.0,2020-02-01,iowa
12,12,2020,3,3026.0,2020-03-01,iowa
13,13,2020,4,2843.0,2020-04-01,iowa
14,14,2020,5,3208.0,2020-05-01,iowa
15,15,2020,6,3022.0,2020-06-01,iowa
16,16,2020,7,3176.0,2020-07-01,iowa
17,17,2020,8,3140.0,2020-08-01,iowa
18,18,2020,9,3077.0,2020-09-01,iowa
19,19,2020,10,2995.0,2020-10-01,iowa
20,20,2020,11,2737.0,2020-11-01,iowa
21,21,2020,12,2853.0,2020-12-01,iowa
22,22,2021,1,2813.0,2021-01-01,iowa
23,23,2021,2,2723.0,2021-02-01,iowa
0,0,2019,3,6651.0,2019-03-01,arizona
1,1,2019,4,6078.0,2019-04-01,arizona
2,2,2019,5,6267.0,2019-05-01,arizona
3,3,2019,6,6154.0,2019-06-01,arizona
4,4,2019,7,6940.0,2019-07-01,arizona
5,5,2019,8,7192.0,2019-08-01,arizona
6,6,2019,9,6858.0,2019-09-01,arizona
7,7,2019,10,6872.0,2019-10-01,arizona
8,8,2019,11,6577.0,2019-11-01,arizona
9,9,2019,12,6713.0,2019-12-01,arizona
10,10,2020,1,6678.0,2020-01-01,arizona
11,11,2020,2,6249.0,2020-02-01,arizona
12,12,2020,3,6346.0,2020-03-01,arizona
13,13,2020,4,5957.0,2020-04-01,arizona
14,14,2020,5,6032.0,2020-05-01,arizona
15,15,2020,6,6069.0,2020-06-01,arizona
16,16,2020,7,6763.0,2020-07-01,arizona
17,17,2020,8,6690.0,2020-08-01,arizona
18,18,2020,9,6729.0,2020-09-01,arizona
19,19,2020,10,6630.0,2020-10-01,arizona
20,20,2020,11,6185.0,2020-11-01,arizona
21,21,2020,12,6408.0,2020-12-01,arizona
22,22,2021,1,6146.0,2021-01-01,arizona
23,23,2021,2,5560.0,2021-02-01,arizona
0,0,2019,3,1433.0,2019-03-01,oregon
1,1,2019,4,1393.0,2019-04-01,oregon
2,2,2019,5,1364.0,2019-05-01,oregon
