,date,counts,10day_ave
0,2020-01-01,78,
1,2020-01-02,86,
2,2020-01-03,102,
3,2020-01-04,90,
4,2020-01-05,68,
5,2020-01-06,101,
6,2020-01-07,111,94.5
7,2020-01-08,100,94.4
8,2020-01-09,113,94.5
9,2020-01-10,96,94.7
10,2020-01-11,77,94.7
11,2020-01-12,87,97.7
12,2020-01-13,104,96.8
13,2020-01-14,90,94.1
14,2020-01-15,98,91.4
15,2020-01-16,92,88.7
16,2020-01-17,84,88.5
17,2020-01-18,73,90.9
18,2020-01-19,86,93.1
19,2020-01-20,94,94.7
20,2020-01-21,101,96.1
21,2020-01-22,109,94.7
22,2020-01-23,120,95.6
23,2020-01-24,104,98.6
24,2020-01-25,84,100.1
25,2020-01-26,101,102.9
26,2020-01-27,114,104.2
27,2020-01-28,88,102.5
28,2020-01-29,114,100.0
29,2020-01-30,107,96.1
30,2020-01-31,84,96.2
31,2020-02-01,84,96.8
32,2020-02-02,81,97.5
33,2020-02-03,105,95.0
34,2020-02-04,90,94.5
35,2020-02-05,108,90.3
36,2020-02-06,89,86.5
37,2020-02-07,83,86.5
38,2020-02-08,72,87.4
39,2020-02-09,69,88.9
40,2020-02-10,84,87.1
41,2020-02-11,93,87.1
42,2020-02-12,96,82.4
43,2020-02-13,87,80.2
44,2020-02-14,90,82.8
45,2020-02-15,61,86.2
46,2020-02-16,67,89.9
47,2020-02-17,109,90.9
48,2020-02-18,106,90.0
49,2020-02-19,106,89.2
50,2020-02-20,94,89.0
51,2020-02-21,84,90.9
52,2020-02-22,88,96.3
53,2020-02-23,85,99.0
54,2020-02-24,109,99.4
55,2020-02-25,115,97.6
56,2020-02-26,94,93.8
57,2020-02-27,113,92.2
58,2020-02-28,88,92.1
59,2020-02-29,68,92.4
60,2020-03-01,78,93.6
61,2020-03-02,83,90.9
62,2020-03-03,91,88.2
63,2020-03-04,97,87.0
64,2020-03-05,82,83.1
65,2020-03-06,88,82.3
66,2020-03-07,82,84.6
67,2020-03-08,74,86.9
68,2020-03-09,80,89.0
69,2020-03-10,91,89.1
70,2020-03-11,101,88.7
71,2020-03-12,104,87.7
72,2020-03-13,92,88.0
73,2020-03-14,93,90.1
74,2020-03-15,72,90.4
75,2020-03-16,91,92.3
76,2020-03-17,103,92.9
77,2020-03-18,77,93.0
78,2020-03-19,99,92.2
79,2020-03-20,97,93.8
80,2020-03-21,102,94.0
81,2020-03-22,96,96.0
82,2020-03-23,108,97.0
83,2020-03-24,95,94.6
84,2020-03-25,92,93.7
85,2020-03-26,101,90.6
86,2020-03-27,79,89.2
87,2020-03-28,68,86.2
88,2020-03-29,68,87.0
89,2020-03-30,83,87.5
90,2020-03-31,72,85.7
91,2020-04-01,104,84.9
92,2020-04-02,113,82.5
93,2020-04-03,77,84.2
94,2020-04-04,84,88.1
95,2020-04-05,77,89.8
96,2020-04-06,96,90.9
97,2020-04-07,107,93.8
98,2020-04-08,85,90.8
99,2020-04-09,94,86.7
100,2020-04-10,101,87.0
101,2020-04-11,74,87.2
102,2020-04-12,72,87.1
103,2020-04-13,80,87.5
104,2020-04-14,86,85.9
105,2020-04-15,76,85.3
106,2020-04-16,100,82.2
107,2020-04-17,91,79.8
108,2020-04-18,79,83.0
109,2020-04-19,63,86.7
110,2020-04-20,77,87.8
111,2020-04-21,106,90.0
112,2020-04-22,109,93.2
113,2020-04-23,91,92.8
114,2020-04-24,108,93.3
115,2020-04-25,108,95.0
116,2020-04-26,96,100.1
117,2020-04-27,96,102.6
