Entity,Code,Day,Weekly cases per million people
United States,USA,2020-01-28,0.012
United States,USA,2020-01-29,0.015
United States,USA,2020-01-30,0.015
United States,USA,2020-01-31,0.018
United States,USA,2020-02-01,0.018
United States,USA,2020-02-02,0.009
United States,USA,2020-02-03,0.018
United States,USA,2020-02-04,0.018
United States,USA,2020-02-05,0.015
United States,USA,2020-02-06,0.018
United States,USA,2020-02-07,0.012
United States,USA,2020-02-08,0.012
United States,USA,2020-02-09,0.012
United States,USA,2020-02-10,0.003
United States,USA,2020-02-11,0.006
United States,USA,2020-02-12,0.006
United States,USA,2020-02-13,0.006
United States,USA,2020-02-14,0.006
United States,USA,2020-02-15,0.006
United States,USA,2020-02-16,0.006
United States,USA,2020-02-17,0.006
United States,USA,2020-02-18,0.003
United States,USA,2020-02-19,0.003
United States,USA,2020-02-20,0
United States,USA,2020-02-21,0.006
United States,USA,2020-02-22,0.006
United States,USA,2020-02-23,0.006
United States,USA,2020-02-24,0.006
United States,USA,2020-02-25,0.006
United States,USA,2020-02-26,0.006
United States,USA,2020-02-27,0.009
United States,USA,2020-02-28,0.003
United States,USA,2020-02-29,0.027
United States,USA,2020-03-01,0.048
United States,USA,2020-03-02,0.118
United States,USA,2020-03-03,0.175
United States,USA,2020-03-04,0.275
United States,USA,2020-03-05,0.505
United States,USA,2020-03-06,0.665
United States,USA,2020-03-07,1.142
United States,USA,2020-03-08,1.471
United States,USA,2020-03-09,1.628
United States,USA,2020-03-10,2.139
United States,USA,2020-03-11,3.142
United States,USA,2020-03-12,4.236
United States,USA,2020-03-13,5.988
United States,USA,2020-03-14,7.779
United States,USA,2020-03-15,8.136
United States,USA,2020-03-16,12.341
United States,USA,2020-03-17,17.311
United States,USA,2020-03-18,24.235
United States,USA,2020-03-19,36.486
United States,USA,2020-03-20,53.809
United States,USA,2020-03-21,69.628
United States,USA,2020-03-22,95.727
United States,USA,2020-03-23,125.247
United States,USA,2020-03-24,151.79
United States,USA,2020-03-25,180.264
United States,USA,2020-03-26,220.633
United States,USA,2020-03-27,257.862
United States,USA,2020-03-28,299.055
United States,USA,2020-03-29,329.345
United States,USA,2020-03-30,362.085
United States,USA,2020-03-31,409.501
United States,USA,2020-04-01,470.458
United States,USA,2020-04-02,513.89
United States,USA,2020-04-03,554.993
United States,USA,2020-04-04,593.542
United States,USA,2020-04-05,626.708
United States,USA,2020-04-06,654.859
United States,USA,2020-04-07,668.318
United States,USA,2020-04-08,665.164
United States,USA,2020-04-09,676.354
United States,USA,2020-04-10,682.756
United States,USA,2020-04-11,672.822
United States,USA,2020-04-12,664.907
United States,USA,2020-04-13,651.454
United States,USA,2020-04-14,645.581
United States,USA,2020-04-15,628.031
United States,USA,2020-04-16,610.143
United States,USA,2020-04-17,605.962
United States,USA,2020-04-18,602.427
United States,USA,2020-04-19,598.92
United States,USA,2020-04-20,607.645
United States,USA,2020-04-21,598.859
United States,USA,2020-04-22,609.291
United States,USA,2020-04-23,620.031
United States,USA,2020-04-24,617.907
United States,USA,2020-04-25,625.351
United States,USA,2020-04-26,626.575
United States,USA,2020-04-27,608.071
United States,USA,2020-04-28,604.022
United States,USA,2020-04-29,596.708
United States,USA,2020-04-30,583.566
United States,USA,2020-05-01,591.418
United States,USA,2020-05-02,582.216
United States,USA,2020-05-03,575.557
United States,USA,2020-05-04,576.711
United States,USA,2020-05-05,576.572
United States,USA,2020-05-06,570.899
United States,USA,2020-05-07,565.434
United States,USA,2020-05-08,541.002
United States,USA,2020-05-09,534.313
United States,USA,2020-05-10,517.908
United States,USA,2020-05-11,503.365
United States,USA,2020-05-12,498.582
United States,USA,2020-05-13,486.038
United States,USA,2020-05-14,484.247
United States,USA,2020-05-15,477.927
United States,USA,2020-05-16,474.975
United States,USA,2020-05-17,473.452
United States,USA,2020-05-18,482.875
United States,USA,2020-05-19,477.011
United States,USA,2020-05-20,483.927
United States,USA,2020-05-21,480.748
United States,USA,2020-05-22,477.455
United States,USA,2020-05-23,468.247
United States,USA,2020-05-24,473.395
United States,USA,2020-05-25,462.165
United States,USA,2020-05-26,458.066
United States,USA,2020-05-27,445.534
United States,USA,2020-05-28,435.129
United States,USA,2020-05-29,437.595
United States,USA,2020-05-30,445.214
United States,USA,2020-05-31,441.951
United States,USA,2020-06-01,438.214
United States,USA,2020-06-02,443.809
United States,USA,2020-06-03,447.755
United States,USA,2020-06-04,445.691
United States,USA,2020-06-05,448.492
United States,USA,2020-06-06,441.021
United States,USA,2020-06-07,437.785
United States,USA,2020-06-08,438.392
United States,USA,2020-06-09,428.972
United States,USA,2020-06-10,432.764
United States,USA,2020-06-11,437.277
United States,USA,2020-06-12,435.664
United States,USA,2020-06-13,447.894
United States,USA,2020-06-14,451.011
United States,USA,2020-06-15,457.604
United States,USA,2020-06-16,473.573
United States,USA,2020-06-17,491.561
United States,USA,2020-06-18,507.854
United States,USA,2020-06-19,528.083
United States,USA,2020-06-20,549.419
United States,USA,2020-06-21,568.15
United States,USA,2020-06-22,605.409
United States,USA,2020-06-23,645.907
United States,USA,2020-06-24,672.529
United States,USA,2020-06-25,708.151
United States,USA,2020-06-26,751.752
United States,USA,2020-06-27,779.172
United States,USA,2020-06-28,826.247
United States,USA,2020-06-29,853.833
United States,USA,2020-06-30,882.096
United States,USA,2020-07-01,930.261
United States,USA,2020-07-02,979.542
United States,USA,2020-07-03,995.756
United States,USA,2020-07-04,1008.853
United States,USA,2020-07-05,1039.179
United States,USA,2020-07-06,1044.623
United States,USA,2020-07-07,1087.596
United States,USA,2020-07-08,1112.671
United States,USA,2020-07-09,1130.396
United States,USA,2020-07-10,1180.83
United States,USA,2020-07-11,1224.19
United States,USA,2020-07-12,1247.362
United States,USA,2020-07-13,1295.129
United States,USA,2020-07-14,1317.431
United States,USA,2020-07-15,1341.603
United States,USA,2020-07-16,1381.856
United States,USA,2020-07-17,1394.563
United States,USA,2020-07-18,1402.122
United States,USA,2020-07-19,1408.279
United States,USA,2020-07-20,1417.928
United States,USA,2020-07-21,1407.306
United States,USA,2020-07-22,1414.69
United States,USA,2020-07-23,1392.394
United States,USA,2020-07-24,1395.602
